66.2,41.0,2016-05-01 00:20:21.385149
66.2,42.0,2016-05-01 00:20:38.145453
66.2,41.0,2016-05-01 00:21:17.004503
66.2,41.0,2016-05-01 00:25:45.585906
66.2,41.0,2016-05-01 00:26:02.036769
66.2,41.0,2016-05-01 00:26:04.585454
66.2,42.0,2016-05-01 00:26:07.121515
66.2,42.0,2016-05-01 00:26:09.662973
66.2,41.0,2016-05-01 00:26:12.204200
66.2,41.0,2016-05-01 00:26:14.745390
66.2,41.0,2016-05-01 00:26:17.291182
66.2,42.0,2016-05-01 00:26:19.841428
66.2,41.0,2016-05-01 00:26:22.391542
68.0,41.0,2016-05-01 00:26:24.941457
66.2,42.0,2016-05-01 00:26:56.431435
68.0,43.0,2016-05-01 00:26:58.989468
68.0,44.0,2016-05-01 00:27:01.535103
68.0,44.0,2016-05-01 00:27:04.085922
68.0,44.0,2016-05-01 00:27:06.637084
68.0,47.0,2016-05-01 00:27:09.188107
68.0,46.0,2016-05-01 00:27:11.738931
68.0,49.0,2016-05-01 00:27:14.292459
68.0,48.0,2016-05-01 00:27:16.842861
68.0,49.0,2016-05-01 00:27:19.393532
68.0,50.0,2016-05-01 00:27:36.003629
68.0,54.0,2016-05-01 00:27:38.577618
68.0,54.0,2016-05-01 00:27:41.126620
68.0,58.0,2016-05-01 00:27:43.675592
68.0,55.0,2016-05-01 00:27:46.225232
68.0,58.0,2016-05-01 00:27:48.774618
68.0,57.0,2016-05-01 00:27:51.323701
68.0,59.0,2016-05-01 00:27:53.872903
68.0,60.0,2016-05-01 00:27:56.421998
68.0,60.0,2016-05-01 00:27:58.971190
68.0,61.0,2016-05-01 00:28:13.581834
68.0,59.0,2016-05-01 00:28:16.157855
66.2,56.0,2016-05-01 00:28:21.234738
66.2,52.0,2016-05-01 00:28:31.367146
66.2,52.0,2016-05-01 00:28:33.912958
66.2,51.0,2016-05-01 00:28:36.458599
68.0,50.0,2016-05-01 00:28:39.005640
66.2,50.0,2016-05-01 00:28:41.552668
68.0,50.0,2016-05-01 00:28:44.099439
66.2,50.0,2016-05-01 00:28:46.646296
66.2,49.0,2016-05-01 00:30:10.369616
66.2,45.0,2016-05-01 00:30:15.950016
